time,HH Electricity consumption (kWh),Electricity Import Price (£/kWh),Electricity Export Price (£/kWh)
01/01/2020 00:00,51.7,0.086224,0.06809
01/01/2020 00:30,56,0.077158,0.0731
01/01/2020 01:00,56,0.077158,0.0363
01/01/2020 01:30,51.4,0.077158,0.0553
01/01/2020 02:00,54.9,0.077158,0.06641
01/01/2020 02:30,52.9,0.077158,0.0505
01/01/2020 03:00,49.1,0.077158,0.05034
01/01/2020 03:30,48.5,0.077468,0.037545
01/01/2020 04:00,52,0.086534,0.036965
01/01/2020 04:30,54.5,0.086534,0.03825
01/01/2020 05:00,64.6,0.086534,0.03752
01/01/2020 05:30,66.1,0.086534,0.037
01/01/2020 06:00,109.4,0.086534,0.03945
01/01/2020 06:30,159.5,0.086534,0.038595
01/01/2020 07:00,217.7,0.086534,0.0545
01/01/2020 07:30,261.3,0.086534,0.06658
01/01/2020 08:00,295.8,0.140454,0.125895
01/01/2020 08:30,238.2,0.140454,0.15875
01/01/2020 09:00,191.9,0.140454,0.12932
01/01/2020 09:30,240,0.086534,0.039035
01/01/2020 10:00,236.3,0.086534,0.03904
01/01/2020 10:30,310.8,0.086534,0.039905
01/01/2020 11:00,360.4,0.086534,0.0365
01/01/2020 11:30,333,0.086224,0.03179
01/01/2020 12:00,330.1,0.086224,0.04734
01/01/2020 12:30,343.1,0.077158,0.03525
01/01/2020 13:00,340,0.077158,0.0361
01/01/2020 13:30,328,0.077158,0.035835
01/01/2020 14:00,303.8,0.077158,0.035845
01/01/2020 14:30,294.7,0.077158,0.036055
01/01/2020 15:00,292.8,0.077158,0.03159
01/01/2020 15:30,301.2,0.077468,0.02082
01/01/2020 16:00,295.6,0.086534,0.036735
01/01/2020 16:30,268.2,0.086534,0.039555
01/01/2020 17:00,229.1,0.086534,0.05554
01/01/2020 17:30,203.7,0.086534,0.070095
01/01/2020 18:00,186.1,0.086534,0.05056
01/01/2020 18:30,162.4,0.086534,0.03734
01/01/2020 19:00,136.5,0.086534,0.03968
01/01/2020 19:30,122.6,0.086534,0.03905
01/01/2020 20:00,127.3,0.140454,0.09939
01/01/2020 20:30,97.2,0.140454,0.16256
01/01/2020 21:00,88.9,0.140454,0.13087
01/01/2020 21:30,88.2,0.086534,0.039525
01/01/2020 22:00,81.1,0.086534,0.03954
01/01/2020 22:30,76.4,0.086534,0.0503
01/01/2020 23:00,68.7,0.086534,0.038355
01/01/2020 23:30,62.4,0.086224,0.047925
02/01/2020 00:00,58.1,0.086224,0.06109
02/01/2020 00:30,56.1,0.077158,0.04425
02/01/2020 01:00,60.6,0.077158,0.03867
02/01/2020 01:30,55.3,0.077158,0.03869
02/01/2020 02:00,57.5,0.077158,0.041465
02/01/2020 02:30,58.6,0.077158,0.04845
02/01/2020 03:00,55.6,0.077158,0.03068
02/01/2020 03:30,53.6,0.077468,0.033415
02/01/2020 04:00,58.9,0.086534,0.040195
02/01/2020 04:30,59.5,0.086534,0.04178
02/01/2020 05:00,67.5,0.086534,0.03564
02/01/2020 05:30,77.1,0.086534,0.03966
02/01/2020 06:00,122.9,0.086534,0.0517
02/01/2020 06:30,156.2,0.086534,0.06964
02/01/2020 07:00,208.7,0.086534,0.06618
02/01/2020 07:30,245.9,0.086534,0.04258
02/01/2020 08:00,289.2,0.140454,0.22104
02/01/2020 08:30,316,0.140454,0.24454
02/01/2020 09:00,318.7,0.140454,0.112935
02/01/2020 09:30,357.1,0.086534,0.093445
02/01/2020 10:00,343.4,0.086534,0.072325
02/01/2020 10:30,345.7,0.086534,0.06583
02/01/2020 11:00,345.9,0.086534,0.062235
02/01/2020 11:30,332.5,0.086224,0.062075
02/01/2020 12:00,327,0.086224,0.03994
02/01/2020 12:30,336.2,0.077158,0.039915
02/01/2020 13:00,319.8,0.077158,0.04892
02/01/2020 13:30,305.4,0.077158,0.052145
02/01/2020 14:00,285.4,0.077158,0.044615
02/01/2020 14:30,295.3,0.077158,0.039795
02/01/2020 15:00,298.9,0.077158,0.050865
02/01/2020 15:30,315.1,0.077158,0.03009
02/01/2020 16:00,291.5,0.086224,0.03881
02/01/2020 16:30,272.9,0.086224,0.03791
02/01/2020 17:00,241.3,0.086224,0.03969
02/01/2020 17:30,215.3,0.086224,0.041
02/01/2020 18:00,184.6,0.086224,0.062925
02/01/2020 18:30,162,0.086224,0.039485
02/01/2020 19:00,140.9,0.086224,0.03962
02/01/2020 19:30,125,0.086224,0.05388
02/01/2020 20:00,111,0.086224,0.06524
02/01/2020 20:30,92,0.086224,0.0954
02/01/2020 21:00,97,0.086224,0.092595
02/01/2020 21:30,87.2,0.086224,0.04014
02/01/2020 22:00,79.6,0.086224,0.052305
02/01/2020 22:30,75.5,0.086224,0.062965
02/01/2020 23:00,72.2,0.086224,0.06416
02/01/2020 23:30,72.9,0.086224,0.06134
03/01/2020 00:00,36.9,0.086224,0.03876
03/01/2020 00:30,35.7,0.077158,0.038505
03/01/2020 01:00,38.3,0.077158,0.04745
03/01/2020 01:30,33.4,0.077158,0.05733
03/01/2020 02:00,32.2,0.077158,0.058485
03/01/2020 02:30,28.9,0.077158,0.03064
03/01/2020 03:00,29,0.077158,0.03764
03/01/2020 03:30,29.4,0.077158,0.0385
03/01/2020 04:00,32.2,0.086224,0.036635
03/01/2020 04:30,32,0.086224,0.038595
03/01/2020 05:00,33.9,0.086224,0.066405
03/01/2020 05:30,44.1,0.086224,0.053075
03/01/2020 06:00,61.7,0.086224,0.03865
03/01/2020 06:30,82.9,0.086224,0.03903
03/01/2020 07:00,92.5,0.086224,0.039495
03/01/2020 07:30,112.7,0.086224,0.04057
03/01/2020 08:00,124,0.086224,0.073525
03/01/2020 08:30,106.5,0.086224,0.10472
03/01/2020 09:00,109.9,0.086224,0.07552
03/01/2020 09:30,128.3,0.086224,0.07009
03/01/2020 10:00,120.2,0.086224,0.07709
03/01/2020 10:30,116.5,0.086224,0.06359
03/01/2020 11:00,121.5,0.086224,0.03827
03/01/2020 11:30,122,0.086224,0.03929
03/01/2020 12:00,101,0.086224,0.06501
03/01/2020 12:30,99.1,0.077158,0.04987
03/01/2020 13:00,104,0.077158,0.038625
03/01/2020 13:30,87.6,0.077158,0.038765
03/01/2020 14:00,80.5,0.077158,0.038495
03/01/2020 14:30,73.2,0.077158,0.0361
03/01/2020 15:00,92.2,0.077158,0.06784
03/01/2020 15:30,105,0.077468,0.08033
03/01/2020 16:00,114,0.086534,0.04415
03/01/2020 16:30,100.1,0.086534,0.102295
03/01/2020 17:00,92.2,0.086534,0.0755
03/01/2020 17:30,90.9,0.086534,0.074255
03/01/2020 18:00,95.2,0.086534,0.102995
03/01/2020 18:30,95.6,0.086534,0.14019
03/01/2020 19:00,77.3,0.086534,0.142405
03/01/2020 19:30,91.6,0.086534,0.0803
03/01/2020 20:00,80.8,0.140454,0.103305
03/01/2020 20:30,74.8,0.140454,0.10029
03/01/2020 21:00,65.1,0.140454,0.101395
03/01/2020 21:30,60.6,0.086534,0.082215
03/01/2020 22:00,55.2,0.086534,0.054255
03/01/2020 22:30,52.2,0.086534,0.04215
03/01/2020 23:00,55.1,0.086534,0.03929
03/01/2020 23:30,44,0.086224,0.03243
04/01/2020 00:00,40.5,0.086224,0.055645
04/01/2020 00:30,38.7,0.077158,0.05733
04/01/2020 01:00,31.1,0.077158,0.05733
04/01/2020 01:30,30.4,0.077158,0.05726
04/01/2020 02:00,38.3,0.077158,0.057135
04/01/2020 02:30,37.6,0.077158,0.04167
04/01/2020 03:00,35.5,0.077158,0.0367
04/01/2020 03:30,44.2,0.077468,0.041045
04/01/2020 04:00,40.2,0.086534,0.04127
04/01/2020 04:30,39.7,0.086534,0.07539
04/01/2020 05:00,44,0.086534,0.0755
04/01/2020 05:30,53.3,0.086534,0.091385
04/01/2020 06:00,78.3,0.086534,0.09181
04/01/2020 06:30,95.9,0.086534,0.0805
04/01/2020 07:00,124.2,0.086534,0.058775
04/01/2020 07:30,130.9,0.086534,0.04198
04/01/2020 08:00,133.1,0.140454,0.10214
04/01/2020 08:30,128.7,0.140454,0.102145
04/01/2020 09:00,131.3,0.140454,0.13264
04/01/2020 09:30,138.4,0.086534,0.07001
04/01/2020 10:00,148.5,0.086534,0.0647
04/01/2020 10:30,133.4,0.086534,0.053505
04/01/2020 11:00,133.3,0.086534,0.041535
04/01/2020 11:30,118.1,0.086224,0.03909
04/01/2020 12:00,118.1,0.086224,0.039235
04/01/2020 12:30,127.9,0.077158,0.04786
04/01/2020 13:00,142,0.077158,0.05725
04/01/2020 13:30,123.6,0.077158,0.037655
04/01/2020 14:00,110,0.077158,0.056565
04/01/2020 14:30,123.8,0.077158,0.05586
04/01/2020 15:00,124.3,0.077158,0.056085
04/01/2020 15:30,144.4,0.077468,0.061265
04/01/2020 16:00,150.5,0.086534,0.05298
04/01/2020 16:30,135.8,0.086534,0.04189
04/01/2020 17:00,120.4,0.086534,0.04113
04/01/2020 17:30,126.2,0.086534,0.04206
04/01/2020 18:00,103.6,0.086534,0.04237
04/01/2020 18:30,104.9,0.086534,0.042555
04/01/2020 19:00,85.9,0.086534,0.04208
04/01/2020 19:30,83.2,0.086534,0.042245
04/01/2020 20:00,83.7,0.140454,0.10127
04/01/2020 20:30,77.4,0.140454,0.10064
04/01/2020 21:00,74.2,0.140454,0.10149
04/01/2020 21:30,71.2,0.086534,0.041325
04/01/2020 22:00,65.3,0.086534,0.041955
04/01/2020 22:30,58.5,0.086534,0.04102
04/01/2020 23:00,54.3,0.086534,0.02735
04/01/2020 23:30,49,0.086224,0.037425
05/01/2020 00:00,43.9,0.086224,0.035755
05/01/2020 00:30,38,0.077158,0.03369
05/01/2020 01:00,40.7,0.077158,0.035735
