,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,poa_global,poa_diffuse
2020-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,3.42,2.21,0.0,0.0,0.0
2020-01-01 00:30:00+00:00,0.0,0.0,0.0,0.0,3.4699999999999998,2.1399999999999997,0.0,0.0,0.0
2020-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,3.52,2.07,0.0,0.0,0.0
2020-01-01 01:30:00+00:00,0.0,0.0,0.0,0.0,3.62,2.0,0.0,0.0,0.0
2020-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,3.72,1.93,0.0,0.0,0.0
2020-01-01 02:30:00+00:00,0.0,0.0,0.0,0.0,3.9000000000000004,1.825,0.0,0.0,0.0
2020-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,4.08,1.72,0.0,0.0,0.0
2020-01-01 03:30:00+00:00,0.0,0.0,0.0,0.0,4.165,1.585,0.0,0.0,0.0
2020-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,4.25,1.45,0.0,0.0,0.0
2020-01-01 04:30:00+00:00,0.0,0.0,0.0,0.0,4.32,1.38,0.0,0.0,0.0
2020-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,4.39,1.31,0.0,0.0,0.0
2020-01-01 05:30:00+00:00,0.0,0.0,0.0,0.0,4.38,1.275,0.0,0.0,0.0
2020-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,4.37,1.24,0.0,0.0,0.0
2020-01-01 06:30:00+00:00,0.0,0.0,0.0,0.0,4.345000000000001,1.205,0.0,0.0,0.0
2020-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,4.32,1.17,0.0,0.0,0.0
2020-01-01 07:30:00+00:00,0.0,0.0,0.0,0.0,4.26,1.31,0.0,0.0,0.0
2020-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,4.2,1.45,0.0,0.0,0.0
2020-01-01 08:30:00+00:00,3.5,13.11,0.0,2.235,4.18,1.69,0.0,16.61,13.11
2020-01-01 09:00:00+00:00,7.0,26.22,0.0,4.47,4.16,1.93,0.0,33.22,26.22
2020-01-01 09:30:00+00:00,41.005,40.11,0.0,6.955,4.27,2.2399999999999998,0.0,81.115,40.11
2020-01-01 10:00:00+00:00,75.01,54.0,0.0,9.44,4.38,2.55,0.0,129.01,54.0
2020-01-01 10:30:00+00:00,100.51,58.5,0.0,11.0,4.46,2.76,0.0,159.01,58.5
2020-01-01 11:00:00+00:00,126.01,63.0,0.0,12.56,4.54,2.97,0.0,189.01,63.0
2020-01-01 11:30:00+00:00,71.505,83.0,0.0,13.07,4.715,3.0,0.0,154.505,83.0
2020-01-01 12:00:00+00:00,17.0,103.0,0.0,13.58,4.89,3.03,0.0,120.0,103.0
2020-01-01 12:30:00+00:00,8.5,77.0,0.0,12.985,4.975,3.205,0.0,85.5,77.0
2020-01-01 13:00:00+00:00,0.0,51.0,0.0,12.39,5.06,3.38,0.0,51.0,51.0
2020-01-01 13:30:00+00:00,0.0,44.0,0.0,10.754999999999999,4.97,3.275,0.0,44.0,44.0
2020-01-01 14:00:00+00:00,0.0,37.0,0.0,9.12,4.88,3.17,0.0,37.0,37.0
2020-01-01 14:30:00+00:00,0.0,23.5,0.0,6.569999999999999,4.795,3.0700000000000003,0.0,23.5,23.5
2020-01-01 15:00:00+00:00,0.0,10.0,0.0,4.02,4.71,2.97,0.0,10.0,10.0
2020-01-01 15:30:00+00:00,0.0,5.0,0.0,2.01,4.385,2.9000000000000004,0.0,5.0,5.0
2020-01-01 16:00:00+00:00,0.0,0.0,0.0,0.0,4.06,2.83,0.0,0.0,0.0
2020-01-01 16:30:00+00:00,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
2020-01-01 17:00:00+00:00,0.0,0.0,0.0,0.0,3.94,3.17,0.0,0.0,0.0
2020-01-01 17:30:00+00:00,0.0,0.0,0.0,0.0,3.8449999999999998,3.24,0.0,0.0,0.0
2020-01-01 18:00:00+00:00,0.0,0.0,0.0,0.0,3.75,3.31,0.0,0.0,0.0
2020-01-01 18:30:00+00:00,0.0,0.0,0.0,0.0,4.1,3.38,0.0,0.0,0.0
2020-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,4.45,3.45,0.0,0.0,0.0
2020-01-01 19:30:00+00:00,0.0,0.0,0.0,0.0,4.515000000000001,3.52,0.0,0.0,0.0
2020-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,4.58,3.59,0.0,0.0,0.0
2020-01-01 20:30:00+00:00,0.0,0.0,0.0,0.0,4.875,3.69,0.0,0.0,0.0
2020-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,5.17,3.79,0.0,0.0,0.0
2020-01-01 21:30:00+00:00,0.0,0.0,0.0,0.0,5.395,3.93,0.0,0.0,0.0
2020-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,5.62,4.07,0.0,0.0,0.0
2020-01-01 22:30:00+00:00,0.0,0.0,0.0,0.0,5.755,4.205,0.0,0.0,0.0
2020-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0,5.89,4.34,0.0,0.0,0.0
2020-01-01 23:30:00+00:00,0.0,0.0,0.0,0.0,5.92,4.48,0.0,0.0,0.0
2020-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,5.95,4.62,0.0,0.0,0.0
2020-01-02 00:30:00+00:00,0.0,0.0,0.0,0.0,6.005,4.6899999999999995,0.0,0.0,0.0
2020-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,6.06,4.76,0.0,0.0,0.0
2020-01-02 01:30:00+00:00,0.0,0.0,0.0,0.0,6.045,4.83,0.0,0.0,0.0
2020-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0,6.03,4.9,0.0,0.0,0.0
2020-01-02 02:30:00+00:00,0.0,0.0,0.0,0.0,6.025,4.9350000000000005,0.0,0.0,0.0
2020-01-02 03:00:00+00:00,0.0,0.0,0.0,0.0,6.02,4.97,0.0,0.0,0.0
2020-01-02 03:30:00+00:00,0.0,0.0,0.0,0.0,5.99,5.035,0.0,0.0,0.0
2020-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0,5.96,5.1,0.0,0.0,0.0
2020-01-02 04:30:00+00:00,0.0,0.0,0.0,0.0,5.99,5.17,0.0,0.0,0.0
2020-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,6.02,5.24,0.0,0.0,0.0
2020-01-02 05:30:00+00:00,0.0,0.0,0.0,0.0,5.949999999999999,5.345000000000001,0.0,0.0,0.0
2020-01-02 06:00:00+00:00,0.0,0.0,0.0,0.0,5.88,5.45,0.0,0.0,0.0
2020-01-02 06:30:00+00:00,0.0,0.0,0.0,0.0,5.79,5.484999999999999,0.0,0.0,0.0
2020-01-02 07:00:00+00:00,0.0,0.0,0.0,0.0,5.7,5.52,0.0,0.0,0.0
2020-01-02 07:30:00+00:00,0.0,0.0,0.0,0.0,5.855,5.725,0.0,0.0,0.0
2020-01-02 08:00:00+00:00,0.0,0.0,0.0,0.0,6.01,5.93,0.0,0.0,0.0
2020-01-02 08:30:00+00:00,3.0,13.245,0.0,2.255,6.199999999999999,6.135,0.0,16.244999999999997,13.245
2020-01-02 09:00:00+00:00,6.0,26.49,0.0,4.51,6.39,6.34,0.0,32.489999999999995,26.49
2020-01-02 09:30:00+00:00,3.0,23.244999999999997,0.0,7.0,6.595,6.55,0.0,26.244999999999997,23.244999999999997
2020-01-02 10:00:00+00:00,0.0,20.0,0.0,9.49,6.8,6.76,0.0,20.0,20.0
2020-01-02 10:30:00+00:00,0.0,27.0,0.0,11.06,6.9350000000000005,6.725,0.0,27.0,27.0
2020-01-02 11:00:00+00:00,0.0,34.0,0.0,12.63,7.07,6.69,0.0,34.0,34.0
2020-01-02 11:30:00+00:00,0.0,42.0,0.0,13.145,7.275,7.035,0.0,42.0,42.0
2020-01-02 12:00:00+00:00,0.0,50.0,0.0,13.66,7.48,7.38,0.0,50.0,50.0
2020-01-02 12:30:00+00:00,2.5,66.5,0.0,13.075,7.65,6.859999999999999,0.0,69.0,66.5
2020-01-02 13:00:00+00:00,5.0,83.0,0.0,12.49,7.82,6.34,0.0,88.0,83.0
2020-01-02 13:30:00+00:00,9.5,74.5,0.0,10.86,7.945,6.93,0.0,84.0,74.5
2020-01-02 14:00:00+00:00,14.0,66.0,0.0,9.23,8.07,7.52,0.0,80.0,66.0
2020-01-02 14:30:00+00:00,9.0,44.53,0.0,6.6850000000000005,8.100000000000001,7.52,0.0,53.53,44.53
2020-01-02 15:00:00+00:00,4.0,23.06,0.0,4.14,8.13,7.52,0.0,27.06,23.06
2020-01-02 15:30:00+00:00,2.0,11.53,0.0,2.07,8.120000000000001,7.555,0.0,13.53,11.53
2020-01-02 16:00:00+00:00,0.0,0.0,0.0,0.0,8.11,7.59,0.0,0.0,0.0
2020-01-02 16:30:00+00:00,0.0,0.0,0.0,0.0,8.195,7.625,0.0,0.0,0.0
2020-01-02 17:00:00+00:00,0.0,0.0,0.0,0.0,8.28,7.66,0.0,0.0,0.0
2020-01-02 17:30:00+00:00,0.0,0.0,0.0,0.0,8.425,7.59,0.0,0.0,0.0
2020-01-02 18:00:00+00:00,0.0,0.0,0.0,0.0,8.57,7.52,0.0,0.0,0.0
2020-01-02 18:30:00+00:00,0.0,0.0,0.0,0.0,8.735,7.414999999999999,0.0,0.0,0.0
2020-01-02 19:00:00+00:00,0.0,0.0,0.0,0.0,8.9,7.31,0.0,0.0,0.0
2020-01-02 19:30:00+00:00,0.0,0.0,0.0,0.0,9.065000000000001,7.31,0.0,0.0,0.0
2020-01-02 20:00:00+00:00,0.0,0.0,0.0,0.0,9.23,7.31,0.0,0.0,0.0
2020-01-02 20:30:00+00:00,0.0,0.0,0.0,0.0,9.305,7.24,0.0,0.0,0.0
2020-01-02 21:00:00+00:00,0.0,0.0,0.0,0.0,9.38,7.17,0.0,0.0,0.0
2020-01-02 21:30:00+00:00,0.0,0.0,0.0,0.0,9.46,7.07,0.0,0.0,0.0
2020-01-02 22:00:00+00:00,0.0,0.0,0.0,0.0,9.54,6.97,0.0,0.0,0.0
2020-01-02 22:30:00+00:00,0.0,0.0,0.0,0.0,9.62,6.76,0.0,0.0,0.0
2020-01-02 23:00:00+00:00,0.0,0.0,0.0,0.0,9.7,6.55,0.0,0.0,0.0
2020-01-02 23:30:00+00:00,0.0,0.0,0.0,0.0,9.735,6.3100000000000005,0.0,0.0,0.0
2020-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,9.77,6.07,0.0,0.0,0.0
